Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Season2,Snow_Days,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil moisture,Additional information
AUS_1_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Year_1,-36.83058,147.32503,1880,2.308,8,16/12/15,04/01/17,385,Year,Year_Rooibos,179,1.3877,No,1.944,1.26416,0.35,None,Susanna Venn,,
AUS_2_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Year_1,-36.83058,147.32503,1880,2.247,8,16/12/15,04/01/17,385,Year,Year_Rooibos,179,1.4772,No,1.886,1.35366,0.28,None,Susanna Venn,,
AUS_3_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Year_1,-36.83058,147.32503,1880,2.22,8,16/12/15,04/01/17,385,Year,Year_Rooibos,179,1.4718,No,1.86,1.34826,0.28,None,Susanna Venn,,
AUS_4_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Year_1,-36.83058,147.32503,1880,2.1976,8,16/12/15,04/01/17,385,Year,Year_Rooibos,179,1.3788,No,1.839,1.25526,0.32,None,Susanna Venn,,
AUS_5_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Year_1,-36.83058,147.32503,1880,2.272,8,16/12/15,04/01/17,385,Year,Year_Rooibos,179,1.795,No,1.91,1.67146,0.12,None,Susanna Venn,,
AUS_6_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Year_1,-36.83058,147.32503,1880,2.2116,8,16/12/15,04/01/17,385,Year,Year_Rooibos,179,NA,No,1.853,#VALUE!,#VALUE!,None,Susanna Venn,,
AUS_7_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Summer_1,-36.83058,147.32503,1880,2.3197,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,179,1.464,No,1.955,1.34046,0.31,None,Susanna Venn,,
AUS_8_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Summer_1,-36.83058,147.32503,1880,2.2675,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,179,1.5087,No,1.905,1.38516,0.27,None,Susanna Venn,,
AUS_9_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Summer_1,-36.83058,147.32503,1880,2.223,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,179,1.495,No,1.863,1.37146,0.26,None,Susanna Venn,,
AUS_10_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Summer_1,-36.83058,147.32503,1880,2.3266,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,179,1.4826,No,1.961,1.35906,0.31,None,Susanna Venn,,
